"","Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","x10","x11","x12","x13","Degree"
"72",26311,24840,2883,1057,3728,315,396,209,498,15,17,10,7,2,3
"73",35944,33998,4717,1096,3931,265,416,262,668,13,22,7,6,7,4
"74",16958,20214,5969,1184,7758,166,345,486,2159,11,59,8,3,2,2
"75",28870,27485,3558,672,2140,169,288,108,269,12,6,6,7,2,4
"76",16568,15517,1226,293,1777,54,139,39,106,6,4,2,1,2,1
"77",18782,17573,3282,803,4974,168,306,232,972,9,18,7,2,3,2
"78",23824,23335,9687,1522,14381,169,566,645,1996,21,66,10,22,6,3
"79",32552,30807,3625,1240,5226,309,431,212,616,16,21,7,2,4,4
"80",25230,24146,4392,1208,6447,452,336,246,668,15,23,9,2,5,3
"81",25878,24064,2857,732,2206,253,237,117,209,7,6,2,1,1,3
"82",24239,22828,7148,716,2721,148,243,210,449,11,21,2,9,1,3
"83",23077,21794,6435,1178,7380,302,361,399,1851,13,30,9,6,4,3
"84",32810,31110,2744,636,2618,109,319,79,198,6,11,3,2,2,4
"85",21363,20279,10468,1613,5811,312,494,599,1895,14,48,3,18,4,2
"86",23108,21817,6172,1271,4579,326,421,227,543,12,13,6,8,1,3
"87",18780,17540,4618,749,2286,205,247,167,354,13,9,5,4,3,2
"88",35080,33483,4753,1345,6395,306,501,273,731,22,22,12,3,5,4
"89",26899,25831,6037,926,3776,219,339,212,594,16,26,7,4,2,3
"90",17606,16503,4666,1644,6873,402,475,357,1027,15,30,4,7,2,2
"91",15284,14482,4685,885,4339,175,337,209,655,11,26,5,3,2,1
"92",28789,27211,10308,1733,10304,383,631,401,1297,21,41,9,10,7,3
"93",16384,15454,1369,350,1228,59,169,62,153,4,12,4,2,3,1
"94",29876,28681,8734,1314,6623,305,543,281,799,21,32,7,6,3,4
"95",36139,34253,1441,1338,17165,331,508,220,1925,12,33,14,1,5,4
"96",22517,21252,4838,1703,7282,371,608,406,1042,21,38,11,9,3,3
"97",27558,24977,2634,1051,4677,260,352,237,618,12,22,12,6,3,3
"98",30151,27868,2851,2634,15824,1121,801,386,1488,16,43,19,8,3,4
"99",19935,20857,5682,1443,9452,353,472,347,1114,16,45,8,6,7,2
"100",11558,10918,2909,735,5727,191,259,158,681,6,15,9,3,1,1
"101",23295,21770,4124,1517,8194,426,537,291,783,10,27,6,10,4,3
"102",27038,25636,2768,1201,6402,247,491,194,505,9,20,7,3,2,3
"103",29811,27646,1931,1143,5936,301,411,229,1028,8,37,16,2,3,4
"104",19360,18178,3750,1757,6527,489,526,438,1433,22,38,5,11,2,2
"105",16043,15042,2827,1497,6572,439,360,260,574,11,24,6,6,3,1
"106",22327,21004,3197,1482,6448,347,536,237,610,7,27,10,3,3,2
"107",17604,16420,2740,1126,4909,260,325,211,489,7,24,7,7,1,2
"108",30782,28966,3369,1241,4465,332,381,210,540,4,26,9,6,4,4
"109",21441,24186,11276,2354,15979,421,739,940,4193,22,109,23,12,2,2
"110",9716,8772,2413,884,2878,222,277,264,478,3,2,1,9,1,1
"111",33500,31912,3146,1406,5055,382,494,294,775,17,22,14,6,10,4
"112",33219,31591,2094,911,3078,198,399,168,510,10,23,6,4,2,4
"113",21658,20718,1676,787,6138,197,298,144,280,12,19,6,5,1,2
"114",24213,23226,1910,2325,9337,732,446,309,1004,19,26,7,7,4,3
"115",28890,27676,2629,1138,3641,332,403,190,440,16,22,8,2,3,4
"116",21471,20640,1258,566,3009,131,231,80,246,4,6,2,3,4,2
"117",26083,24364,4070,7466,29034,4765,884,588,1518,14,37,9,7,4,3
"118",24954,24066,6233,7346,87413,1640,3413,786,3650,20,103,18,5,3,3
"119",21519,20023,3323,1892,5253,566,655,439,953,14,17,6,9,5,2
"120",30330,28744,4996,3508,25863,1425,967,543,1943,13,47,15,7,6,4
"121",25099,24449,1706,934,5512,211,309,150,367,14,20,7,6,4,3
"122",37255,35320,1921,2705,15430,739,676,310,1814,19,39,18,2,5,4
"123",21952,20766,3614,943,4335,267,347,204,625,13,12,4,4,3,2
"124",44638,42027,3162,1172,7524,293,464,195,575,18,19,8,2,10,4
"125",20684,19280,7330,15111,164042,4345,5426,1171,5172,29,198,21,7,2,2
"126",39284,35328,6762,3747,24575,1026,909,436,1411,20,39,12,6,3,4
"127",20086,18999,2864,953,3279,232,318,172,399,9,12,2,6,4,2
"128",25632,24165,3833,1856,6237,480,528,330,683,12,16,5,10,6,3
"129",16472,15435,2334,859,3123,174,251,201,657,10,12,2,3,1,1
"130",34527,32613,4255,2716,13831,728,850,611,1736,26,37,17,9,5,4
"131",23137,22028,1402,333,1764,70,176,39,103,3,9,2,0,1,3
"132",11578,11192,968,3058,9942,1690,314,122,279,6,6,4,1,3,1
"133",21898,20706,2127,545,1714,120,228,84,163,8,2,2,4,2,2
